chainId,address,name,symbol,decimals,logoURI
1,0xe831f96a7a1dce1aa2eb760b1e296c6a74caa9d5,Nexum,NEXM,8,https://assets.coingecko.com/coins/images/23472/thumb/200_-_200_coinmarketcap.png?1644218225
1,0xd2946be786f35c3cc402c29b323647abda799071,Vikky,VIKKY,8,https://assets.coingecko.com/coins/images/5278/thumb/vikkytoken.png?1548760050
1,0x8686525d6627a25c68de82c228448f43c97999f2,Lilly Finance,LY,9,https://assets.coingecko.com/coins/images/23787/thumb/jQlMieu.png?1645437427
1,0xda30f261a962d5aae94c9ecd170544600d193766,Orbler,ORBR,18,https://assets.coingecko.com/coins/images/24056/thumb/fA2YATWT_400x400.jpg?1646203182
1,0x3392d8a60b77f8d3eaa4fb58f09d835bd31add29,IndiGG,INDI,18,https://assets.coingecko.com/coins/images/23857/thumb/https___bucketeer-e05bbc84-baa3-437e-9518-adb32be77984.s3.amazonaws.com_public_images_0cb39c1f-db6d-4dd9-9143-1f30ee38d74d_743x726.jpeg?1645594083
1,0x67b6d479c7bb412c54e03dca8e1bc6740ce6b99c,Kylin Network,KYL,18,https://assets.coingecko.com/coins/images/14164/thumb/kyl_logo.jpg?1647507720
1,0xdb05ea0877a2622883941b939f0bb11d1ac7c400,Opacity,OPCT,18,https://assets.coingecko.com/coins/images/7237/thumb/Opacity.jpg?1551843524
1,0xea097a2b1db00627b2fa17460ad260c016016977,Upfiring,UFR,18,https://assets.coingecko.com/coins/images/1170/thumb/upfiring.png?1548759693
1,0xa3c22370de5f9544f0c4de126b1e46ceadf0a51b,Stratis,STRAX,18,https://assets.coingecko.com/coins/images/531/thumb/stratis.png?1547034209
1,0x7475c42f8bf2c19f4eaf12feaababa859fdc8914,Accel Defi,ACCEL,18,https://assets.coingecko.com/coins/images/22405/thumb/accel_new.png?1645426698
1,0x5f4c148d17effd165c2e2d46b46d2bd6e3ebdc3e,5KM RUN,RUN,18,https://assets.coingecko.com/coins/images/26072/thumb/logo-200.png?1655621986
1,0xbe9375c6a420d2eeb258962efb95551a5b722803,StormX,STMX,18,https://assets.coingecko.com/coins/images/1369/thumb/StormX.png?1603113002
1,0xff742d05420b6aca4481f635ad8341f81a6300c2,AscendEx,ASD,18,https://assets.coingecko.com/coins/images/5003/thumb/bitmax.png?1621310871
1,0x36f3fd68e7325a35eb768f1aedaae9ea0689d723,Empty Set Dollar,ESD,18,https://assets.coingecko.com/coins/images/12440/thumb/esd_logo_circle.png?1603676421
1,0xd4342a57ecf2fe7ffa37c33cb8f63b1500e575e6,Apron,APN,18,https://assets.coingecko.com/coins/images/14916/thumb/1_GOjoDhGzzpqnMPGpHGeWhg.png?1618998577
1,0x3fa400483487a489ec9b1db29c4129063eec4654,Cryptokek,KEK,18,https://assets.coingecko.com/coins/images/13513/thumb/Cryptokek-Logo-256px.png?1609292074
1,0x20b2d0a368d34adc544720c841281fa8a99f5a2e,CoinGhost,GST,18,https://assets.coingecko.com/coins/images/25978/thumb/20568.png?1655112863
1,0x94e496474f1725f1c1824cb5bdb92d7691a4f03a,Banana,BANANA,18,https://assets.coingecko.com/coins/images/17521/thumb/banana-token-cg.png?1646285527
1,0x26fb86579e371c7aedc461b2ddef0a8628c93d3b,BORA,BORA,18,https://assets.coingecko.com/coins/images/7646/thumb/mqFw8hxm_400x400.jpeg?1656657343
1,0xcfcecfe2bd2fed07a9145222e8a7ad9cf1ccd22a,Adshares,ADS,11,https://assets.coingecko.com/coins/images/868/thumb/rnO9DyJ.png?1663921311
1,0x9301466c40b94942af9ba63cbaea1c784ff219b2,eCeltron,ECTR,18,https://assets.coingecko.com/coins/images/27511/thumb/vW1LS7PgPcq9R39knqB_zb9bsVoI8yknrUQ5yIA3mVQp9gJDjSP7C-CMjZeVhavUoPSI32aCLlIwtvlyIXOdk8oKppSqEQ6ZckU9DO4Z429LUJV2vfAnsknft6Gl8bkKjktX2nZXYRHagLRfCgvcVvjDbr-EcmNi3gqgBN2liRqHNmaXJ809xCnnzIxA1Yf2fKX-PlZqxShwMSL7VICFLYo61S23HvL5nK3f4kb-94IQ5cd.jpeg?1664350712
