rank,address,qty,percentage,token_address,token_symbol
34.0,0x13fda18516eafe5e8ae930f86fa51ae4b6c35e8f,922720.668986,0.0023,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
35.0,0xc887b673632dee97c4ebb861a2660cc883d39059,894415.64054,0.0022,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
36.0,0x6ab707aca953edaefbc4fd23ba73294241490620,839799.177253,0.0021,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
37.0,0x6e73c0d08e40a78f937d5fa2547748a7cb1ef1dc,782272.096238,0.0019,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
38.0,0x51e99a0d09eeca8d7efec3062ac024b6d0989959,750000.0,0.0019,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
39.0,0x2e0929bd71c21cfc66dce799b132f979ff8db7a0,701436.250437,0.0017,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
40.0,0x18f7402b673ba6fb5ea4b95768aabb8aad7ef18a,694175.806982,0.0017,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
41.0,0x15b9d20bcaa4f65d9004d2bebac4058445fd5285,694116.885151,0.0017,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
42.0,0x3d6675b5c730200d3306c189a48b23186ea25e02,662182.062486,0.0016,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
43.0,0xcc71dd74183ea325f537665678263565c0b7e493,661246.472667,0.0016,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
44.0,0xb861bad738a2a629a3a9b7b6986f17f5640912d3,614544.796346,0.0015,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
45.0,0xb8aa98969728ead6076fe9a72cab65cea5dee023,592322.017073,0.0015,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
46.0,0x514d27e46c1befa9d4cccaf33273e468937049f3,586247.787573,0.0015,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
47.0,0x8c9d230d45d6cfee39a6680fb7cb7e8de7ea8e71,550947.748215,0.0014,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
48.0,0xf52f079af080c9fb5afca57dde0f8b83d49692a9,549730.472304,0.0014,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
49.0,0x9b64203878f24eb0cdf55c8c6fa7d08ba0cf77e5,539230.433044,0.0013,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
50.0,0x2fa6f21ecfe274f594f470c376f5bdd061e08a37,522161.154978,0.0013,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
51.0,0xcfb6510f0200e078fa3998b303a0614e0541943b,517102.398882,0.0013,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
52.0,0x5c5abb7047b27c70abec5a840f3d0c4c7759ce8f,509780.223068,0.0013,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
53.0,0xca71ebd75786d0c87c5bcfbd57c57706afe913e8,504904.713716,0.0012,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
54.0,0x709d8527320405df3fdf54dad6db5458fffe4b34,464298.328199,0.0011,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
55.0,0xb89b28bb49e6e90799867371cb4d213cf9cfad23,463631.328793,0.0011,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
56.0,0xe4b2dfc82977dd2dce7e8d37895a6a8f50cbb4fb,443411.765291,0.0011,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
57.0,0x323608c41143932ad7d4cd96d7d17bfcffc28e49,434519.972694,0.0011,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
58.0,0x7c9bb9ac9004693f4742adab98911c7907636984,427236.012922,0.0011,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
59.0,0xf26ebc9d0238df863dac9974713ddc28781516b9,424585.617601,0.0011,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
60.0,0x13398e27a21be1218b6900cbedf677571df42a48,414607.598386,0.001,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
61.0,0x36a050412491e75c0c15a0a12e12eb287ffc5a26,406805.913245,0.001,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
62.0,0x171cda359aa49e46dec45f375ad6c256fdfbd420,400837.080128,0.001,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
63.0,0xd0d71856bab532a1579ef77b1f20c5692eb808dc,400000.402207,0.001,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
64.0,0xf58b1774156d1c9c4256e835e3c9212e2ee13404,391101.621845,0.001,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
