symbol,name,market_cap,address,price_usd
CTX,CTX/USDT,,0x321c2fe4446c7c963dc41dd58879af648838f98d,
CUSDT,CUSDT/USD,,0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9,
CUSDT,CUSDT/USDT,,0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9,
CVC,CVC/USD,,0x41e5560054824ea6b0732e656e3ad64e20e94e45,
CVX,CVX/USD,,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,
DAI,DAI/USD,,0x6b175474e89094c44da98b954eedeac495271d0f,
DAI,DAI/USDT,,0x6b175474e89094c44da98b954eedeac495271d0f,
DAWN,DAWN/USD,,0x580c8520deda0a441522aeae0f9f7a5f29629afa,
DENT,DENT/USD,,0x3597bfd533a99c9aa083587b074434e61eb0a258,
DFL,DFL/USD,,0x09ce2b746c32528b7d864a1e3979bd97d2f095ab,
DKNG,DKNG/USD,,,
DMG,DMG/USD,,0xed91879919b71bb6905f23af0a68d231ecf87b14,
DMG,DMG/USDT,,0xed91879919b71bb6905f23af0a68d231ecf87b14,
DODO,DODO/USD,,0x43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd,
DOGE,DOGE/BTC,,,
DOGE,DOGE/JPY,,,
DOGE,DOGE/USD,,,
DOGE,DOGE/USDT,,,
DOT,DOT/BTC,,,
DOT,DOT/JPY,,,
DOT,DOT/USD,,,
DOT,DOT/USDT,,,
DYDX,DYDX/USD,,0x92d6c1e31e14520e676a687f0a93788b716beff5,
EDEN,EDEN/USD,,0x1559fa1b8f28238fd5d76d9f434ad86fd20d1559,
EMB,EMB/USD,,0xdb0acc14396d108b3c5574483acb817855c9dc8d,
ENJ,ENJ/JPY,,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,
ENJ,ENJ/USD,,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,
ENS,ENS/USD,,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,
ETH,ETH/AUD,,,
ETH,ETH/BRZ,,,
ETH,ETH/BTC,,,
ETH,ETH/EUR,,,
ETH,ETH/JPY,,,
ETH,ETH/TRY,,,
ETH,ETH/USD,,,
ETH,ETH/USDT,,,
ETHE,ETHE/USD,,,
ETHW,ETHW/USD,,,
EUL,EUL/USD,,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,
EUR,EUR/USD,,,
EURT,EURT/EUR,,0xc581b735a1688071a1746c968e0798d642ede491,
EURT,EURT/USD,,0xc581b735a1688071a1746c968e0798d642ede491,
EURT,EURT/USDT,,0xc581b735a1688071a1746c968e0798d642ede491,
FB,FB/USD,,0xfb19075d77a0f111796fb259819830f4780f1429,
FIDA,FIDA/USD,,,
FIDA,FIDA/USDT,,,
FRONT,FRONT/USD,,0xf8c3527cc04340b208c854e985240c02f7b7793f,
FRONT,FRONT/USDT,,0xf8c3527cc04340b208c854e985240c02f7b7793f,
FTM,FTM/USD,,0x4e15361fd6b4bb609fa63c81a2be19d873717870,
FTT,FTT/BTC,,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,
FTT,FTT/JPY,,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,
FTT,FTT/USD,,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,
FTT,FTT/USDT,,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,
FXS,FXS/USD,,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,
GAL,GAL/USD,,0x5faa989af96af85384b8a938c2ede4a7378d9875,
GALA,GALA/USD,,0x15d4c048f83bd7e37d49ea4c83a07267ec4203da,
GALFAN,GALFAN/USD,,,
GARI,GARI/USD,,,
GBP,GBP/USD,,,
GBTC,GBTC/USD,,,
GDX,GDX/USD,,,
GDXJ,GDXJ/USD,,,
GENE,GENE/USD,,0xf6ec87dfe1ed3a7256cc0c38e3c8139103e9af3b,
GLD,GLD/USD,,,
GLXY,GLXY/USD,,,
GME,GME/USD,,0x9eb6be354d88fd88795a04de899a57a77c545590,
GMT,GMT/USD,,0x7ddc52c4de30e94be3a6a0a2b259b2850f421989,
GMX,GMX/USD,,,
