symbol,price_usd,name,market_cap,decimals,address
AWETH,1846.46,Aave interest bearing WETH,1003395872.5486883,18.0,0x030ba81f1c18d280636f32af80b9aad02cf0854e
FRAX,0.999729,Frax,1003090353.0,18.0,0x17fc002b466eec40dae837fc4be5c67993ddbd6f
FRAX,0.999729,Frax,1003090353.0,18.0,0x45c32fa6df82ead1e2ef74d17b76547eddfaff89
SAND,0.506221,The Sandbox,968815160.0,18.0,0xbbba073c31bf03b8acf7c28ef0738decf3695683
AAVE,64.58,Aave,955224062.0,18.0,0xd6df932a45c0f255f85145f286ea0b292b21c90b
KCS,9.32,KUCOIN,902193653.0,,0xf34960d9d60be18cc1d5afc1a6f012a723a28811
MANA,0.471803,Decentraland,894312998.0,18.0,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
SNX,2.85,SYNTHETIX NETWORK,890979388.0,18.0,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f
BIT,0.555986,BITDAO,791613626.0,18.0,0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5
RPL,40.49,ROCKET POOL,774888479.0,18.0,0xd33526068d116ce69f19a9ee46f0bd304f21a51f
AWBTC,27599.0,Aave interest bearing WBTC,768166873.6580453,8.0,0x9ff58f4ffb29fa2266ab25e75e2a8b3503311656
CRV,1.002,CURVE DAO,765811135.0,18.0,0xd533a949740bb3306d119cc777fa900ba034cd52
USDP,1.009,PAX DOLLAR,760106913.0,18.0,0x8e870d67f660d95d5be530380d0ec0bd388289e1
USDP,1.009,PAX DOLLAR,760106913.0,18.0,0x1456688345527be1f37e9e627da0837d6f08c925
GT,5.35,GATE,745218970.0,18.0,0xe66747a101bff2dba3697199dcce5b743b454759
USDD,1.0,USDD,734617428.0,18.0,0x680447595e8b7b3aa1b43beb9f6098c79ac2ab3f
USDD,0.998505,USDD,734521014.0,18.0,0x0c10bf8fcb7bf5412187a595ab97a3609160b5c6
SNX,2.15,Synthetix Network,721757335.0,18.0,0x50b728d8d964fd00c2d0aad81718b71311fef68a
WBT,4.81,WHITEBIT TOKEN,684783992.0,8.0,0x925206b8a707096ed26ae47c84747fe0bb734f59
RNDR,1.87,Render,681826044.0,18.0,0x61299774020da444af134c82fa83e3810b309991
CRV,0.833488,Curve DAO,681360187.0,18.0,0x172370d5cd63279efa6d502dab29171933a610af
CRV,0.833488,Curve DAO,681360187.0,18.0,0x11cdb42b0eb46d95f990bedd4695a6e3fa034978
CHZ,0.123098,CHILIZ,654471612.0,18.0,0x3506424f91fd33084466f402d5d97f05f8e3b4af
HT,3.99,HUOBI,652414795.0,18.0,0x6f259637dcd74c767781e37bc6133cd6a68aa161
NEO,9.06,NEO,639539266.0,,0xf0bef9840e4f7166e52c7af2d72ec566bbf39bdb
MKR,684.74,MAKER,612104771.0,18.0,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2
MKR,669.69,Maker,611737419.0,18.0,0x2e9a6df78e42a30712c10a9dc4b1c8656f8f2879
MKR,669.69,Maker,611737419.0,18.0,0x6f7c932e7684666c9fd1d44527765433e01ff61d
FXS,8.2,FRAX SHARE,607654567.0,18.0,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0
RETH,1972.17,Rocket Pool ETH,599068448.0,18.0,0xec70dcb4a1efa46b8f2d97c310c9c4790ba5ffa8
RETH,1972.17,Rocket Pool ETH,599068448.0,18.0,0x0266f4f08d82372cf0fcbccc0ff74309089c74d1
BGB,0.4253582118732148,Bitget Token,595501496.6225008,18.0,0x19de6b897ed14a376dda0fe53a5420d2ac828a28
AGIX,0.488446,SINGULARITYNET,585380340.0,8.0,0x5b7533812759b45c2b44c19e320ba2cd2681b542
BTT,5.9822e-07,BitTorrent,572144971.0,18.0,0xc669928185dbce49d2230cc9b0979be6dc797957
GMX,62.87,GMX,565609991.0,18.0,0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a
CVXSTECRV,1975.6297468267496,Curve.fi ETH/stETH Convex Deposit,543739791.5835232,18.0,0x9518c9063eb0262d791f38d8d6eb0aca33c63ed0
AUSDC,1.001,Aave interest bearing USDC,522064164.3596108,6.0,0xbcca60bb61934080951369a648fb03df4f96263c
TKX,6.49,TOKENIZE XCHANGE,516390793.0,8.0,0x667102bd3413bfeaa3dffb48fa8288819e480a88
RNDR,1.42,RENDER,509295758.0,18.0,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24
TWT,1.22,TRUST WALLET,505856585.0,9.0,0xd4df22556e07148e591b4c7b4f555a17188cf5cf
FXS,6.78,Frax Share,504250335.0,18.0,0x1a3acf6d19267e2d3e7f898f42803e90c9219062
FXS,6.78,Frax Share,504250335.0,18.0,0x9d2f299715d94d8a7e6f5eaa8e654e8c74a988a7
PAXG,1963.7,PAX GOLD,496782920.0,18.0,0x45804880de22913dafe09f4980848ece6ecbaf78
AUSDT,1.001,Aave interest bearing USDT,494448664.1316642,6.0,0x3ed3b47dd13ec9a98b44e6204a523e766b225811
XAUT,1993.77,TETHER GOLD,488915488.0,6.0,0x68749665ff8d2d112fa859aa293f07a622782f38
CETH,37.03,cETH,486773437.0,8.0,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5
AETHWETH,1843.68,Aave Ethereum WETH,484295098.4265258,18.0,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8
WOO,0.234577,WOO Network,447724422.0,18.0,0xcafcd85d8ca7ad1e1c6f82f651fa15e33aefd07b
WOO,0.234577,WOO Network,447724422.0,18.0,0x1b815d120b3ef02039ee11dc2d33de7aa4a8c603
1INCH,0.53202,1INCH,439496634.0,18.0,0x111111111117dc0aa78b770fa6a738034120c302
LRC,0.353133,LOOPRING,437738695.0,18.0,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd
RUNE,1.45,THORCHAIN,434066563.0,18.0,0x3155ba85d5f96b2d030a4966af206230e46849cb
CUSDC,0.02286541,CUSDC,431543328.0,8.0,0x39aa39c021dfbae8fac545936693ac917d5e7563
CVX,5.64,CONVEX FINANCE,424110802.0,18.0,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b
CVXCRVFRAX,1.0018198787276416,Curve.fi FRAX/USDC Convex Deposit,421397228.29744124,18.0,0x117a0bab81f25e60900787d98061ccfae023560c
RETH,1944.18,ROCKET POOL ETH,417913118.0,18.0,0xae78736cd615f374d3085123a210448e74fc6393
RETH,1944.18,ROCKET POOL ETH,417913118.0,18.0,0x9559aaa82d9649c7a7b220e7c461d2e74c9a3593
KAVA,0.919434,KAVA,411747287.0,,0x0c356b7fd36a5357e5a017ef11887ba100c9ab76
ENJ,0.404363,ENJIN COIN,402197467.0,18.0,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c
GUSD,1.007,GEMINI DOLLAR,396669520.0,2.0,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd
DYDX,2.61,DYDX,393536478.0,18.0,0x92d6c1e31e14520e676a687f0a93788b716beff5
MASK,5.22,MASK NETWORK,393015134.0,18.0,0x69af81e73a73b40adf4f3d4223cd9b1ece623074
BTSE,2.39,BTSE TOKEN,389533520.0,8.0,0x666d875c600aa06ac1cf15641361dec3b00432ef
NEXO,0.675107,NEXO,378169227.0,18.0,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
LRC,0.290345,Loopring,377057058.0,18.0,0x46d0ce7de6247b0a95f67b43b589b4041bae7fbe
AETHWSTETH,2069.5,Aave Ethereum wstETH,372302227.17492795,18.0,0x0b925ed163218f6662a35e0f0371ac234f9e9371
CWBTC,554.0397911229525,Compound Wrapped BTC,370754124.53073716,8.0,0xccf4429db6322d5c611ee964527d42e5d685dd6a
CDAI,0.02221565,CDAI,369669104.0,8.0,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643
BAT,0.250083,BASIC ATTENTION,368149315.0,18.0,0x0d8775f648430679a709e98d2b0cb6250d2887ef
ENS,14.01,ETHEREUM NAME SERVICE,359442925.0,18.0,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72
WOO,0.209696,WOO NETWORK,348786258.0,18.0,0x4691937a7508860f876c9c0a2a617e7d9e945d4b
1INCH,0.405496,1inch,348144209.0,18.0,0x9c2c5fd7b07e95ee044ddeba0e97a665f142394f
NXM,51.06,Nexus Mutual,348024875.0,18.0,0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b
BABYDOGE,2.224e-09,BABY DOGE COIN,346133247.0,9.0,0xac57de9c1a09fec648e93eb98875b212db0d460b
BABYDOGE,2.224e-09,BABY DOGE COIN,346133247.0,9.0,0xac8e13ecc30da7ff04b842f21a62a1fb0f10ebd5
FLOKI,3.473e-05,FLOKI,339543694.0,9.0,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e
FLOKI,3.473e-05,FLOKI,339543694.0,18.0,0x67cc621ab2d086a101cff3340df0a065ac75827c
FRXETH,1844.18,Frax Ether,338946327.0,18.0,0xee327f889d5947c1dc1934bb208a1e792f953e96
INJ,4.23,INJECTIVE,335838039.0,18.0,0xe28b3b32b6c345a34ff64674606124dd5aceca30
BAT,0.212224,Basic Attention,328884425.0,18.0,0x3cef98bb43d732e2f285ee605a8158cde967d219
HOT,0.00186217,HOLO,328406052.0,18.0,0x6c6ee5e31d828de241282b9606c8e98ea48526e2
HOT,0.00186217,HOLO,328406052.0,18.0,0x9af839687f6c94542ac5ece2e317daae355493a1
MASK,3.81,Mask Network,321068408.0,18.0,0x2b9e7ccdf0f4e5b24757c1e1a80e311e34cb10c7
CDAI,0.022230104771337633,Compound Dai,317582103.6883832,8.0,0xf5dce57282a584d2746faf1593d3121fcac444dc
COMP,44.74,COMPOUND,304447110.0,18.0,0xc00e94cb662c3520282e6f5717214004a7f26888
GFARM2,8510.01,GAINS FARM,304146332.0,18.0,0x831091da075665168e01898c6dac004a867f1e1b
ROSE,0.060467,OASIS NETWORK,301454535.0,,0x26b80fbfc01b71495f477d5237071242e0d959d7
CDT,0.444195,BLOX,298718766.0,18.0,0xcdb37a4fbc2da5b78aa4e41a432792f9533e85cc
GNO,113.09,Gnosis,296968556.0,18.0,0xa0b862f60edef4452f25b4160f177db44deb6cf1
MX,2.97,MX,296237221.0,18.0,0x11eef04c884e24d9b7b4760e7476d06ddf797f36
YFI,8982.33,YEARN.FINANCE,292415459.0,18.0,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e
GNO,113.01,GNOSIS,290932902.0,18.0,0x6810e776880c02933d47db1b9fc05908e5386b96
FRAX3CRV-F,1.0108561159987433,Curve.fi Factory USD Metapool: Frax,289629642.18933874,18.0,0xd632f22692fac7611d2aa1c0d552930d43caed3b
CVXFRAX3CRV-F,1.0108561159987433,Curve.fi Factory USD Metapool: Frax Convex Deposit,288541755.13148093,18.0,0xbe0f6478e0e4894cfb14f32855603a083a57c7da
FET,0.257857,Fetch.ai,287207403.0,18.0,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85
OHM,10.31,OLYMPUS,285472389.0,9.0,0x383518188c0c6d7730d91b2c03a03c837814a899
OHM,10.31,OLYMPUS,285472389.0,9.0,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5
