address,balance_in_ether,ether_share_percent,is_contract
0xe04cf52e9fafa3d9bf14c407afff94165ef835f7,150000.00000725,0.12445012,0
0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9,150000.00000724,0.12445012,0
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,144053.43600329,0.11951645,0
0x8d95842b0bca501446683be598e12f1c616770c1,143011.65718044,0.11865212,0
0x35aeed3aa9657abf8b847038bb591b51e1e4c69f,141871.70329884,0.11770634,0
0xb93d8596ac840816bd366dc0561e8140afd0d1cb,139701.32901124,0.11590565,0
0x0548f59fee79f8832c299e01dca5c76f034f558e,138873.70109131,0.11521899,0
0x3262f13a39efaca789ae58390441c9ed76bc658a,138498.04165199,0.11490732,1
0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6,135283.67679328,0.11224047,0
0xdb3c617cdd2fbf0bb4309c325f47678e37f096d9,135188.02584887,0.11216111,0
0x5f397b62502e255f68382791947d54c4b2d37f09,132808.75234152,0.1101871,0
0x7ead3a4361bd26a20deb89c9470be368ee9cb6f1,132432.5378388,0.10987497,0
0xd5268a476aadd1a6729df5b3e5e8f2c1004139af,130876.36102822,0.10858386,0
0xf481b7fab9f5d0e74f21ae595a749634fb053619,129231.42213492,0.10721911,0
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,129206.0938458,0.10719809,0
0xf203f6ce087e91c88881d0390f54c3dcb30fcd76,127637.69568589,0.10589684,0
0xb60c61dbb7456f024f9338c739b02be68e3f545c,122172.16476253,0.10136227,0
